State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,,,State,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220,,Total,Not_Reported,Good_below95,Fair_95to170,Poor_above170,NotReported_Percent,Good_Percentage,Fair_Percentage,Poor
Delaware,Rural,Other Principal Arterial,1.54,23.47,56.53,12.98,3.15,1.5,0.2,0.29,0.1,,,,,,,,,,,,,,,,,,,,,,,
District of Columbia,Rural,Other Principal Arterial,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Florida,Rural,Other Principal Arterial,0.653,1018.572,1197.574,265.624,84.131,32.639,9.253,4.678,3.922,,,,,,,,,,,,,,,,,,,,,,,
Georgia,Rural,Other Principal Arterial,133.728,805.202,1078.895,264.241,94.874,44.678,15.239,7.39,8.243,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,Rural,Other Principal Arterial,0,1.2,20.035,17.027,12.146,11.728,6.726,4.2,4.988,,,,,,,,,,,,,,,,,,,,,,,
Idaho,Rural,Other Principal Arterial,120.23,463.174,702.256,218.727,90.904,37.426,14.459,9.378,5.088,,,,,,,,,,,,,,,,,,,,,,,
Illinois,Rural,Other Principal Arterial,6.9,378.18,971.58,438.22,254.43,152.78,75.57,42.08,40.44,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Rural,Other Principal Arterial,28.102,715.992,677.278,256.863,133.892,68.223,35.181,32.813,17.065,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Rural,Other Principal Arterial,31.368,914.191,1127.865,553.377,346.42,194.08,102.648,67.975,80.15,,,,,,,,,,,,,,,,,,,,,,,
Kansas,Rural,Other Principal Arterial,0,1532.891,794.221,162.824,67.343,36.849,17.456,8.232,7.176,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,Rural,Other Principal Arterial,4.546,515.316,486.378,122.177,48.29,23.13,9.359,4.292,5.15,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,Rural,Other Principal Arterial,17.861,131.363,410.841,187.902,95.172,64.374,37.425,18.691,36.179,,,,,,,,,,,,,,,,,,,,,,,
Maine,Rural,Other Principal Arterial,0.15,222.503,291.203,102.026,57.404,34.56,22.38,18.74,45.16,,,,,,,,,,,,,,,,,,,,,,,
Maryland,Rural,Other Principal Arterial,0.486,135.266,132.215,25.835,10.804,6.956,3.377,3.087,2.859,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,Rural,Other Principal Arterial,0,17.034,45.993,21.34,10.905,4.996,2,1.333,1.66,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Rural,Other Principal Arterial,0.021,856.479,816.376,234.314,117.348,57.009,21.1,12.34,14.993,,,,,,,,,,,,,,,,,,,,,,,
