COUNTRY,Country,VARIABLE,Variable,MEASURE,Measure,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
ALB,Albania,I-INV-MTN-RD,Total road spending,EUR,Euro,2017,2017,EUR,Euro,0,Units,,,172646781.1,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,1996,1996,EUR,Euro,0,Units,,,28218472.9,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,1997,1997,EUR,Euro,0,Units,,,27386205.65,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,1998,1998,EUR,Euro,0,Units,,,49079859.29,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,1999,1999,EUR,Euro,0,Units,,,103228037.2,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2000,2000,EUR,Euro,0,Units,,,126401368,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2001,2001,EUR,Euro,0,Units,,,114355588.9,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2002,2002,EUR,Euro,0,Units,,,70019478.3,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2003,2003,EUR,Euro,0,Units,,,66797427.79,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2004,2004,EUR,Euro,0,Units,,,90153603.53,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2005,2005,EUR,Euro,0,Units,,,64754408.98,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2006,2006,EUR,Euro,0,Units,,,163179287.9,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2007,2007,EUR,Euro,0,Units,,,231271004.5,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2008,2008,EUR,Euro,0,Units,,,447573272.5,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2009,2009,EUR,Euro,0,Units,,,469003996.7,,
ALB,Albania,I-INV-RD,Road infrastructure investment,EUR_CONST,Constant Euro,2010,2010,EUR,Euro,0,Units,,,241902743.6,,
