State,Location,System,Not_Reported,<60,60-94,95-119,120-144,145-170,171-194,195-220,>220
Arizona,Urban,Interstate,2.277,147.136,58.515,23.381,11.566,5.203,2.532,1.2,0.9
Arkansas,Urban,Interstate,0,117.264,103.485,38.654,21.579,13.368,7.025,4.715,4.138
California,Urban,Interstate,13.825,261.745,431.269,213.979,153.387,89.822,47.328,31.231,27.523
Colorado,Urban,Interstate,0,66.933,118.04,50.878,37.131,16.102,7.883,3.5,3.251
Connecticut,Urban,Interstate,0,152.24,103.21,31.94,14.96,8.45,2.6,1.7,2.5
Delaware,Urban,Interstate,0,4.7,16.97,6.84,4.83,2.99,2.47,0.7,1.11
District of Columbia,Urban,Interstate,0.125,0,1.167,0,4.261,0,2.162,0,4.107
Florida,Urban,Interstate,0,447.71,234.726,39.444,22.128,16.219,8.54,4.925,4.293
Georgia,Urban,Interstate,0,370.211,207.973,69.13,29.745,15.852,9.204,3.902,3.718
Hawaii,Urban,Interstate,0,0.716,12.475,11.6,9.1,10.4,4.6,2.949,3.019
Idaho,Urban,Interstate,0.346,51.198,28.715,6.26,3.978,1.514,0.649,0.2,0.336
Illinois,Urban,Interstate,1.41,322.14,388.82,90.22,56.52,36.92,21.65,12.5,11.52
Indiana,Urban,Interstate,3.219,188.052,128.598,69.163,46.325,29.709,15.446,9.999,12.375
Iowa,Urban,Interstate,12.746,61.369,63.512,19.996,9.078,5.026,2.443,1.942,1.512
Kansas,Urban,Interstate,0.6,119.131,57,26.498,15.658,8.956,4.073,1.5,1.044
Kentucky,Urban,Interstate,1.127,117.831,65.835,20.13,14.452,6.813,3.273,1.719,1.301
Louisiana,Urban,Interstate,10.55,108.18,90.623,53.272,48.01,49.184,25.628,13.4,11.498
Maine,Urban,Interstate,0,53.13,20.46,6.67,3.4,2.65,0.3,0.1,0.3
Maryland,Urban,Interstate,0.101,136.821,123.863,28.802,14.723,10.149,6.253,6.166,11.023
Massachusetts,Urban,Interstate,0.389,317.316,111.788,30.529,17.997,12.528,7.629,4.213,5.667
Michigan,Urban,Interstate,3.187,125.059,295.007,88.922,58.331,43.779,24.416,18.298,19.076
Minnesota,Urban,Interstate,0.001,78.635,142.903,48.586,23.435,14.747,8.303,4.092,4.711
Mississippi,Urban,Interstate,0,147.562,47.793,23.682,15.824,10.117,4.433,2.456,1.238
Missouri,Urban,Interstate,0,309.53,136.528,39.165,23.926,15.537,6.7,3.9,2.82
Montana,Urban,Interstate,0,41.337,42.28,6.428,3.547,2.16,1,0.4,0.6
Nebraska,Urban,Interstate,2.02,18.95,26.37,10.23,5.74,2.69,1.4,0.6,0.8
Nevada,Urban,Interstate,8.108,72.093,38.837,19.038,14.254,5.2,2.6,1.6,1.189
New Hampshire,Urban,Interstate,0,64.587,14.294,2.772,0.895,0.3,0.2,0,0
New Jersey,Urban,Interstate,0,128.1,150.26,33.82,22.14,17.18,11.75,8.69,14.72
New Mexico,Urban,Interstate,0,105.168,28.785,9.335,5.537,3.587,1.423,1.078,1.174
New York,Urban,Interstate,48.23,230.59,353.44,131.22,66.08,44.36,25.58,16.14,23.08
North Carolina,Urban,Interstate,5.02,353.122,230.381,81.046,41.146,20.797,8.677,3.417,1.783
North Dakota,Urban,Interstate,0,18.207,27.844,8.064,3.604,2.247,0.854,0.239,0.132
Ohio,Urban,Interstate,0,383.159,317.78,103.306,56.613,33.206,15.703,10.478,11.135
Oklahoma,Urban,Interstate,0.571,85.59,112.179,38.026,17.388,14.029,7.961,5,5.258
Oregon,Urban,Interstate,0,102.05,88.68,19.02,10.33,6.55,4.09,2.44,1.22
Pennsylvania,Urban,Interstate,0,278.916,284.48,87.088,51.568,33.345,20.654,13.541,18.174
Rhode Island,Urban,Interstate,0,17.164,25.514,4.571,2.496,1.199,0.49,0.044,0.688
South Carolina,Urban,Interstate,0,152.416,86.059,29.364,19.776,8.658,4.22,1.98,1.826
South Dakota,Urban,Interstate,0,14.223,51.325,12.422,5.134,3.045,1.2,0.3,0.1
Tennessee,Urban,Interstate,0.116,366.098,112.047,40.027,18.542,9.165,6.107,2.01,2.99
Texas,Urban,Interstate,5.4,410.317,549.007,223.542,135.438,79.575,33.674,14.523,7.102
Utah,Urban,Interstate,0,80.801,109.039,33.508,15.377,8.945,3,1.628,0.7
Vermont,Urban,Interstate,0,42.927,15.812,3,1.888,0.4,0.1,0.1,0.081
Virginia,Urban,Interstate,0.436,154.408,234.95,68.855,28.044,19.14,8.48,4.33,2.417
Washington,Urban,Interstate,0,112.69,124.13,43.08,22.12,11.32,6.85,6.31,8.17
West Virginia,Urban,Interstate,0.326,118.214,64.16,20.779,13.149,8.641,4.866,2.403,2.7
Wisconsin,Urban,Interstate,3.48,117.076,104.593,52.346,41.238,26.247,8.08,7.29,5.92
Wyoming,Urban,Interstate,14.361,2.405,47.039,39.107,34.765,30.46,18.738,18.664,51.709
Alabama,Urban,Other Freeways & Expressways,0.522,11.339,8.86,3.735,2.394,0.842,0.615,0.495,0.3
Alaska,Urban,Other Freeways & Expressways,0,0,0,0,0,0,0,0,0
Arizona,Urban,Other Freeways & Expressways,6.027,87.283,79.991,20.998,11.711,5.341,1.937,0.955,0.7
Arkansas,Urban,Other Freeways & Expressways,0.505,10.619,38.148,19.313,10.534,8.547,6.143,5.71,2.5
California,Urban,Other Freeways & Expressways,5.001,302.685,547.775,290.529,182.534,102.907,56.244,33.364,28.538
Colorado,Urban,Other Freeways & Expressways,0,67.567,138.592,52.404,28.908,17.534,8.452,4.755,6.032
Connecticut,Urban,Other Freeways & Expressways,0,78.77,109.67,28.91,12.76,8.6,2.42,1.15,1.48
