ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor,Percentage_Good,Percentage_Fair,Percentage_Poor,Area_Percentage_Good,Area_Percentage_Fair,Area_Percentage_Poor,Total_Tunnel ,Tunnel_Condition_Good,Tunnel_Condtion_Fair,Tunnel_Condition_Poor,Tunnel_Condition_Severe,Tunnel_Percentage_Good,Tunnel_Percentage_Fair,Tunnel_Percentage_Poor,Tunnel_Percentage_Severe,Road_Total,Road_Not_Reported,Road_Road_Good_below95,Road_Fair_95to170,Road_Poor_above170,Road_NotReported_Percentage,Road_Good_Percentage,Road_Fair_Percentage,Road_Poor_Percentage
7,2010,CONNECTICUT,4191,1485,2319,387,3274521,841662,1951027,481832,0.354330709,0.553328561,0.09234073,0.257033624,0.59582058,0.147145796,,,,,,,,,,,,,,,,,,
8,2010,DELAWARE,861,320,491,50,937047,357174,513817,66056,0.371660859,0.570267131,0.058072009,0.381169781,0.548336423,0.070493796,,,,,,,,,,,,,,,,,,
9,2010,DIST. OF COL.,244,52,161,31,528165,44110,376194,107861,0.213114754,0.659836066,0.12704918,0.083515568,0.712266053,0.204218379,,,,,,,,,,,,,,,,,,
10,2010,FLORIDA,11912,8582,3054,275,15822110,11273893,3993732,553320,0.720449966,0.256380121,0.023085964,0.712540426,0.252414627,0.034971315,,,,,,,,,,,,,,,,,,
11,2010,GEORGIA,14670,7413,6523,733,8843328,5026603,3532422,284303,0.505316973,0.444648943,0.049965917,0.568406261,0.39944487,0.03214887,,,,,,,,,,,,,,,,,,
12,2010,HAWAII,1137,380,679,78,1323345,378464,919875,25006,0.334212841,0.597185576,0.068601583,0.285990426,0.695113519,0.018896055,,,,,,,,,,,,,,,,,,
13,2010,IDAHO,4132,1218,2570,343,1591911,355292,1107233,129350,0.294772507,0.621974831,0.083010649,0.223185844,0.695536999,0.081254542,,,,,,,,,,,,,,,,,,
14,2010,ILLINOIS,26337,15653,8485,2173,12610043,5833628,5459507,1288009,0.594334966,0.322170331,0.082507499,0.462617614,0.432949118,0.102141523,,,,,,,,,,,,,,,,,,
15,2010,INDIANA,18548,8101,8604,1843,7703793,3360876,3563632,779285,0.43675868,0.463877507,0.099363813,0.436262501,0.462581484,0.101156015,,,,,,,,,,,,,,,,,,
16,2010,IOWA,24731,9749,10048,4922,7927386,3608228,3349718,967172,0.394201609,0.406291699,0.199021471,0.455159872,0.422550132,0.122003899,,,,,,,,,,,,,,,,,,
