ID,Year,State,Count_All,Count_Good,Count_Fair,Count_Poor,Area_All,Area_Good,Area_Fair,Area_Poor
18,2012, Kentucky ,14031,5754,7173,1103,5858993,2476608,3004573,377277
19,2012, Louisiana ,13175,7164,4463,1506,15839239,7829116,6003615,1453874
20,2012, Maine ,2408,775,1294,338,1205832,469726,597082,138422
21,2012, Maryland ,5294,1842,3103,349,5070918,1527411,3307691,235816
22,2012, Massachusetts ,5120,1518,3126,474,4035412,979144,2448019,607433
23,2012, Michigan ,11000,4665,5020,1307,6216299,2307568,3344821,562938
24,2012, Minnesota ,13121,8027,3948,1146,6135192,3501716,2268428,365049
25,2012, Mississippi ,17061,11156,4218,1682,8759007,6047988,2276334,434087
26,2012, Missouri ,24334,12120,10213,2001,10240360,4896125,4418530,925704
27,2012, Montana ,5120,1978,2881,261,1952228,659436,1174786,118005
28,2012, Nebraska ,15393,8071,5487,1813,3883237,2333469,1291810,255894
29,2012, Nevada ,1798,1152,613,33,1432367,914136,503754,14477
30,2012, New Hampshire ,2429,1289,890,250,1087628,600304,382837,104487
31,2012, New Jersey ,6554,2000,3952,602,6559741,1699672,4164255,695813
32,2012, New Mexico ,3924,1420,2208,296,1689108,644252,921497,123359
33,2012, New York ,17420,6433,8850,2132,12717760,3501267,7486831,1727929
34,2012, North Carolina ,18165,7623,8353,2173,8873890,3872635,4089854,899515
35,2012, North Dakota ,4453,2340,1581,530,1225928,716253,440824,68850
36,2012, Ohio ,27045,13641,10995,2364,13348244,5756524,6511055,971564
37,2012, Oklahoma ,23781,10114,9163,4477,8283934,3858720,3384957,1037301
38,2012, Oregon ,7633,3129,4105,399,4861870,1333486,3309508,218876
39,2012, Pennsylvania ,22669,5831,11389,5445,12487161,3115192,7428043,1943064
40,2012, Rhode Island ,757,131,470,156,775400,122793,478847,173760
41,2012, South Carolina ,9271,4241,4047,983,6571218,3117351,2919064,534803
42,2012, South Dakota ,5870,1880,2895,1095,1662716,408048,1072828,181840
43,2012, Tennessee ,19985,10025,8856,1102,9318680,4213964,4614422,490077
44,2012, Texas ,52260,28062,23187,974,43680940,23333455,19523029,698224
